,Province_State,Date,value
418,Vermont,2/13/20,
419,Virginia,2/13/20,
420,Washington,2/13/20,
421,West Virginia,2/13/20,
422,Wisconsin,2/13/20,
423,Wyoming,2/13/20,
424,Alabama,2/14/20,
425,Alaska,2/14/20,
426,Arizona,2/14/20,
427,Arkansas,2/14/20,
428,California,2/14/20,25.0
429,Colorado,2/14/20,
430,Connecticut,2/14/20,
431,Delaware,2/14/20,
432,Diamond Princess,2/14/20,
433,District of Columbia,2/14/20,
434,Florida,2/14/20,
435,Georgia,2/14/20,
436,Grand Princess,2/14/20,
437,Hawaii,2/14/20,
438,Idaho,2/14/20,
439,Illinois,2/14/20,
440,Indiana,2/14/20,
441,Iowa,2/14/20,
442,Kansas,2/14/20,
443,Kentucky,2/14/20,
444,Louisiana,2/14/20,
445,Maine,2/14/20,
446,Maryland,2/14/20,
447,Massachusetts,2/14/20,
448,Michigan,2/14/20,
449,Minnesota,2/14/20,
450,Mississippi,2/14/20,
451,Missouri,2/14/20,
452,Montana,2/14/20,
453,Nebraska,2/14/20,
454,Nevada,2/14/20,
455,New Hampshire,2/14/20,
456,New Jersey,2/14/20,
457,New Mexico,2/14/20,
458,New York,2/14/20,
459,North Carolina,2/14/20,
460,North Dakota,2/14/20,
461,Ohio,2/14/20,
462,Oklahoma,2/14/20,
463,Oregon,2/14/20,
464,Pennsylvania,2/14/20,
465,Rhode Island,2/14/20,
466,South Carolina,2/14/20,
467,South Dakota,2/14/20,
468,Tennessee,2/14/20,
469,Texas,2/14/20,
470,Utah,2/14/20,
471,Vermont,2/14/20,
472,Virginia,2/14/20,
473,Washington,2/14/20,
474,West Virginia,2/14/20,
475,Wisconsin,2/14/20,
476,Wyoming,2/14/20,
477,Alabama,2/15/20,
478,Alaska,2/15/20,
479,Arizona,2/15/20,
480,Arkansas,2/15/20,
481,California,2/15/20,-0.0
482,Colorado,2/15/20,
483,Connecticut,2/15/20,
484,Delaware,2/15/20,
485,Diamond Princess,2/15/20,
486,District of Columbia,2/15/20,
487,Florida,2/15/20,
488,Georgia,2/15/20,
489,Grand Princess,2/15/20,
490,Hawaii,2/15/20,
491,Idaho,2/15/20,
492,Illinois,2/15/20,
493,Indiana,2/15/20,
494,Iowa,2/15/20,
495,Kansas,2/15/20,
496,Kentucky,2/15/20,
497,Louisiana,2/15/20,
498,Maine,2/15/20,
499,Maryland,2/15/20,
500,Massachusetts,2/15/20,
501,Michigan,2/15/20,
502,Minnesota,2/15/20,
503,Mississippi,2/15/20,
504,Missouri,2/15/20,
505,Montana,2/15/20,
506,Nebraska,2/15/20,
507,Nevada,2/15/20,
508,New Hampshire,2/15/20,
509,New Jersey,2/15/20,
510,New Mexico,2/15/20,
511,New York,2/15/20,
512,North Carolina,2/15/20,
513,North Dakota,2/15/20,
514,Ohio,2/15/20,
515,Oklahoma,2/15/20,
516,Oregon,2/15/20,
517,Pennsylvania,2/15/20,
518,Rhode Island,2/15/20,
519,South Carolina,2/15/20,
520,South Dakota,2/15/20,
521,Tennessee,2/15/20,
522,Texas,2/15/20,
523,Utah,2/15/20,
524,Vermont,2/15/20,
525,Virginia,2/15/20,
526,Washington,2/15/20,
527,West Virginia,2/15/20,
528,Wisconsin,2/15/20,
529,Wyoming,2/15/20,
530,Alabama,2/16/20,
531,Alaska,2/16/20,
532,Arizona,2/16/20,
533,Arkansas,2/16/20,
534,California,2/16/20,-25.0
535,Colorado,2/16/20,
536,Connecticut,2/16/20,
537,Delaware,2/16/20,
538,Diamond Princess,2/16/20,
539,District of Columbia,2/16/20,
540,Florida,2/16/20,
541,Georgia,2/16/20,
542,Grand Princess,2/16/20,
543,Hawaii,2/16/20,
544,Idaho,2/16/20,
545,Illinois,2/16/20,
546,Indiana,2/16/20,
547,Iowa,2/16/20,
548,Kansas,2/16/20,
549,Kentucky,2/16/20,
550,Louisiana,2/16/20,
551,Maine,2/16/20,
552,Maryland,2/16/20,
553,Massachusetts,2/16/20,
554,Michigan,2/16/20,
555,Minnesota,2/16/20,
556,Mississippi,2/16/20,
557,Missouri,2/16/20,
558,Montana,2/16/20,
559,Nebraska,2/16/20,
560,Nevada,2/16/20,
561,New Hampshire,2/16/20,
562,New Jersey,2/16/20,
563,New Mexico,2/16/20,
564,New York,2/16/20,
565,North Carolina,2/16/20,
566,North Dakota,2/16/20,
567,Ohio,2/16/20,
568,Oklahoma,2/16/20,
569,Oregon,2/16/20,
570,Pennsylvania,2/16/20,
571,Rhode Island,2/16/20,
572,South Carolina,2/16/20,
573,South Dakota,2/16/20,
574,Tennessee,2/16/20,
575,Texas,2/16/20,
576,Utah,2/16/20,
577,Vermont,2/16/20,
578,Virginia,2/16/20,
579,Washington,2/16/20,
580,West Virginia,2/16/20,
581,Wisconsin,2/16/20,
582,Wyoming,2/16/20,
583,Alabama,2/17/20,
584,Alaska,2/17/20,
585,Arizona,2/17/20,
586,Arkansas,2/17/20,
587,California,2/17/20,-50.0
588,Colorado,2/17/20,
589,Connecticut,2/17/20,
590,Delaware,2/17/20,
591,Diamond Princess,2/17/20,
592,District of Columbia,2/17/20,
593,Florida,2/17/20,
594,Georgia,2/17/20,
595,Grand Princess,2/17/20,
596,Hawaii,2/17/20,
597,Idaho,2/17/20,
598,Illinois,2/17/20,
599,Indiana,2/17/20,
600,Iowa,2/17/20,
601,Kansas,2/17/20,
602,Kentucky,2/17/20,
603,Louisiana,2/17/20,
604,Maine,2/17/20,
605,Maryland,2/17/20,
606,Massachusetts,2/17/20,
607,Michigan,2/17/20,
608,Minnesota,2/17/20,
609,Mississippi,2/17/20,
610,Missouri,2/17/20,
611,Montana,2/17/20,
612,Nebraska,2/17/20,
613,Nevada,2/17/20,
614,New Hampshire,2/17/20,
615,New Jersey,2/17/20,
616,New Mexico,2/17/20,
617,New York,2/17/20,
