,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
145,San Marino,3/21/20,6,3/18/20,1.0,17.0,3,2020-08-19,152,1.0,2
146,Sao Tome and Principe,5/25/20,3,5/25/20,1.0,33.0,0,2020-08-19,87,1.0,2
147,Saudi Arabia,7/5/20,58,4/1/20,35.0,60.0,95,2020-08-19,46,1.0,2
148,Senegal,6/16/20,6,5/5/20,3.0,49.0,42,2020-08-19,65,1.0,2
149,Serbia,7/10/20,18,3/29/20,5.0,29.0,103,2020-08-19,41,2.0,2
150,Seychelles,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
151,Sierra Leone,5/13/20,7,5/5/20,0.0,2.0,8,2020-08-19,99,1.0,4
152,Singapore,3/21/20,2,4/17/20,1.0,50.0,-27,2020-08-19,152,0.0,2
153,Slovakia,4/15/20,4,4/18/20,0.0,7.0,-3,2020-08-19,127,1.0,4
154,Slovenia,4/5/20,6,3/29/20,0.0,7.0,7,2020-08-19,137,1.0,4
155,Somalia,4/23/20,8,4/23/20,1.0,12.0,0,2020-08-19,119,1.0,2
156,South Africa,7/22/20,572,4/5/20,236.0,41.0,108,2020-08-19,29,2.0,3
157,South Sudan,6/8/20,5,6/7/20,1.0,20.0,1,2020-08-19,73,1.0,2
158,Spain,6/19/20,1179,3/8/20,20.0,2.0,103,2020-08-19,62,2.0,4
159,Sri Lanka,3/28/20,1,6/1/20,1.0,100.0,-65,2020-08-19,145,0.0,2
160,Sudan,5/29/20,38,4/20/20,3.0,8.0,39,2020-08-19,83,1.0,4
161,Suriname,8/11/20,9,6/27/20,2.0,20.0,45,2020-08-19,9,9.0,1
162,Sweden,4/21/20,185,3/19/20,4.0,2.0,33,2020-08-19,121,1.0,4
163,Switzerland,4/4/20,75,3/13/20,1.0,1.0,22,2020-08-19,138,1.0,4
164,Syria,8/18/20,5,7/5/20,2.0,43.0,44,2020-08-19,2,29.0,1
165,Taiwan*,3/30/20,3,1/22/20,1.0,33.0,68,2020-08-19,143,0.0,2
166,Tajikistan,5/9/20,8,5/7/20,0.0,3.0,2,2020-08-19,103,1.0,4
167,Tanzania,4/29/20,6,4/29/20,1.0,17.0,0,2020-08-19,113,1.0,2
168,Thailand,4/3/20,4,4/1/20,1.0,25.0,2,2020-08-19,139,1.0,2
169,Timor-Leste,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
170,Togo,4/16/20,2,5/10/20,1.0,27.0,-24,2020-08-19,126,1.0,2
171,Trinidad and Tobago,4/1/20,2,8/16/20,0.0,13.0,-137,2020-08-19,141,1.0,2
172,Tunisia,4/3/20,4,4/1/20,1.0,15.0,2,2020-08-19,139,1.0,2
173,Turkey,4/19/20,127,3/22/20,18.0,14.0,28,2020-08-19,123,1.0,2
174,US,4/17/20,2666,3/4/20,1046.0,39.0,44,2020-08-19,125,0.0,2
175,Uganda,8/10/20,2,8/13/20,1.0,37.0,-3,2020-08-19,10,6.0,1
176,Ukraine,8/15/20,34,3/30/20,26.0,77.0,138,2020-08-19,5,5.0,1
177,United Arab Emirates,5/10/20,13,4/6/20,1.0,8.0,34,2020-08-19,102,1.0,4
178,United Kingdom,4/21/20,1224,3/14/20,11.0,1.0,38,2020-08-19,121,1.0,4
179,Uruguay,4/2/20,2,4/21/20,0.0,10.0,-19,2020-08-19,140,1.0,2
180,Uzbekistan,8/4/20,8,5/13/20,6.0,69.0,83,2020-08-19,16,2.0,2
181,Venezuela,8/13/20,12,4/30/20,8.0,64.0,105,2020-08-19,7,5.0,1
182,Vietnam,7/31/20,3,8/9/20,1.0,40.0,-9,2020-08-19,20,3.0,3
183,West Bank and Gaza,7/16/20,7,7/3/20,2.0,31.0,13,2020-08-19,35,2.0,2
184,Western Sahara,5/26/20,1,1/22/20,1.0,100.0,125,2020-08-19,86,0.0,2
185,Yemen,7/12/20,52,5/13/20,2.0,4.0,60,2020-08-19,39,2.0,4
186,Zambia,7/17/20,67,6/14/20,6.0,10.0,33,2020-08-19,34,3.0,4
187,Zimbabwe,8/7/20,18,7/10/20,5.0,26.0,28,2020-08-19,13,6.0,1
