,Province_State,Date,value
148,Senegal,2/6/20,
149,Serbia,2/6/20,
150,Seychelles,2/6/20,
151,Sierra Leone,2/6/20,
152,Singapore,2/6/20,
153,Slovakia,2/6/20,
154,Slovenia,2/6/20,
155,Somalia,2/6/20,
156,South Africa,2/6/20,
157,South Sudan,2/6/20,
158,Spain,2/6/20,
159,Sri Lanka,2/6/20,
160,Sudan,2/6/20,
161,Suriname,2/6/20,
162,Sweden,2/6/20,
163,Switzerland,2/6/20,
164,Syria,2/6/20,
165,Taiwan*,2/6/20,
166,Tajikistan,2/6/20,
167,Tanzania,2/6/20,
168,Thailand,2/6/20,
169,Timor-Leste,2/6/20,
170,Togo,2/6/20,
171,Trinidad and Tobago,2/6/20,
172,Tunisia,2/6/20,
173,Turkey,2/6/20,
174,US,2/6/20,
175,Uganda,2/6/20,
176,Ukraine,2/6/20,
177,United Arab Emirates,2/6/20,
178,United Kingdom,2/6/20,
179,Uruguay,2/6/20,
180,Uzbekistan,2/6/20,
181,Venezuela,2/6/20,
182,Vietnam,2/6/20,
183,West Bank and Gaza,2/6/20,
184,Western Sahara,2/6/20,
185,Yemen,2/6/20,
186,Zambia,2/6/20,
187,Zimbabwe,2/6/20,
188,Afghanistan,2/7/20,
189,Albania,2/7/20,
190,Algeria,2/7/20,
191,Andorra,2/7/20,
192,Angola,2/7/20,
193,Antigua and Barbuda,2/7/20,
194,Argentina,2/7/20,
195,Armenia,2/7/20,
196,Australia,2/7/20,
197,Austria,2/7/20,
198,Azerbaijan,2/7/20,
199,Bahamas,2/7/20,
200,Bahrain,2/7/20,
201,Bangladesh,2/7/20,
202,Barbados,2/7/20,
203,Belarus,2/7/20,
204,Belgium,2/7/20,
205,Belize,2/7/20,
206,Benin,2/7/20,
207,Bhutan,2/7/20,
208,Bolivia,2/7/20,
209,Bosnia and Herzegovina,2/7/20,
210,Botswana,2/7/20,
211,Brazil,2/7/20,
212,Brunei,2/7/20,
213,Bulgaria,2/7/20,
