,Province_State,Date,value
5670,Andaman and Nicobar Islands,06/28/20,
5671,Andhra Pradesh,06/28/20,13.0
5672,Arunachal Pradesh,06/28/20,25.0
5673,Assam,06/28/20,
5674,Bihar,06/28/20,-11.0
5675,Cases being reassigned to states,06/28/20,
5676,Chandigarh,06/28/20,
5677,Chhattisgarh,06/28/20,0.0
5678,Dadar Nagar Haveli,06/28/20,
5679,Dadra and Nagar Haveli and Daman and Diu,06/28/20,
5680,Daman & Diu,06/28/20,
5681,Delhi,06/28/20,1.0
5682,Goa,06/28/20,-25.0
5683,Gujarat,06/28/20,-6.0
5684,Haryana,06/28/20,-1.0
5685,Himachal Pradesh,06/28/20,25.0
5686,Jammu and Kashmir,06/28/20,-2.0
5687,Jharkhand,06/28/20,25.0
5688,Karnataka,06/28/20,11.0
5689,Kerala,06/28/20,-25.0
5690,Ladakh,06/28/20,
5691,Madhya Pradesh,06/28/20,-15.0
5692,Maharashtra,06/28/20,0.0
5693,Manipur,06/28/20,
5694,Meghalaya,06/28/20,
5695,Mizoram,06/28/20,
5696,Nagaland,06/28/20,
5697,Odisha,06/28/20,-29.0
5698,Puducherry,06/28/20,-8.0
5699,Punjab,06/28/20,15.0
5700,Rajasthan,06/28/20,-9.0
5701,Sikkim,06/28/20,
5702,Tamil Nadu,06/28/20,5.0
5703,Telangana,06/28/20,-1.0
5704,Telangana***,06/28/20,
5705,Telengana,06/28/20,
5706,Telengana***,06/28/20,
5707,Tripura,06/28/20,
5708,Unassigned,06/28/20,
5709,Uttar Pradesh,06/28/20,-13.0
5710,Uttarakhand,06/28/20,-3.0
5711,West Bengal,06/28/20,-3.0
5712,Andaman and Nicobar Islands,06/29/20,
5713,Andhra Pradesh,06/29/20,12.0
5714,Arunachal Pradesh,06/29/20,-0.0
5715,Assam,06/29/20,75.0
5716,Bihar,06/29/20,-11.0
5717,Cases being reassigned to states,06/29/20,
5718,Chandigarh,06/29/20,
5719,Chhattisgarh,06/29/20,-25.0
5720,Dadar Nagar Haveli,06/29/20,
5721,Dadra and Nagar Haveli and Daman and Diu,06/29/20,
5722,Daman & Diu,06/29/20,
5723,Delhi,06/29/20,1.0
5724,Goa,06/29/20,-8.0
5725,Gujarat,06/29/20,-5.0
5726,Haryana,06/29/20,-5.0
5727,Himachal Pradesh,06/29/20,-0.0
5728,Jammu and Kashmir,06/29/20,-12.0
5729,Jharkhand,06/29/20,-0.0
5730,Karnataka,06/29/20,12.0
5731,Kerala,06/29/20,-50.0
5732,Ladakh,06/29/20,
5733,Madhya Pradesh,06/29/20,-1.0
5734,Maharashtra,06/29/20,-1.0
5735,Manipur,06/29/20,
5736,Meghalaya,06/29/20,
5737,Mizoram,06/29/20,
5738,Nagaland,06/29/20,
5739,Odisha,06/29/20,14.0
5740,Puducherry,06/29/20,0.0
5741,Punjab,06/29/20,5.0
5742,Rajasthan,06/29/20,-1.0
5743,Sikkim,06/29/20,
5744,Tamil Nadu,06/29/20,9.0
5745,Telangana,06/29/20,-1.0
5746,Telangana***,06/29/20,
5747,Telengana,06/29/20,
5748,Telengana***,06/29/20,
5749,Tripura,06/29/20,
5750,Unassigned,06/29/20,
5751,Uttar Pradesh,06/29/20,-3.0
5752,Uttarakhand,06/29/20,-18.0
5753,West Bengal,06/29/20,-3.0
5754,Andaman and Nicobar Islands,06/30/20,
5755,Andhra Pradesh,06/30/20,7.0
5756,Arunachal Pradesh,06/30/20,-25.0
5757,Assam,06/30/20,62.0
5758,Bihar,06/30/20,14.0
5759,Cases being reassigned to states,06/30/20,
5760,Chandigarh,06/30/20,
5761,Chhattisgarh,06/30/20,-0.0
5762,Dadar Nagar Haveli,06/30/20,
5763,Dadra and Nagar Haveli and Daman and Diu,06/30/20,
5764,Daman & Diu,06/30/20,
5765,Delhi,06/30/20,-2.0
5766,Goa,06/30/20,0.0
5767,Gujarat,06/30/20,-6.0
5768,Haryana,06/30/20,-5.0
5769,Himachal Pradesh,06/30/20,-25.0
5770,Jammu and Kashmir,06/30/20,-8.0
5771,Jharkhand,06/30/20,50.0
5772,Karnataka,06/30/20,12.0
5773,Kerala,06/30/20,-75.0
5774,Ladakh,06/30/20,
5775,Madhya Pradesh,06/30/20,1.0
5776,Maharashtra,06/30/20,-6.0
5777,Manipur,06/30/20,
5778,Meghalaya,06/30/20,
