,Province_State,Date,value
277,Grand Princess,1/27/20,0
278,Hawaii,1/27/20,0
279,Idaho,1/27/20,0
280,Illinois,1/27/20,0
281,Indiana,1/27/20,0
282,Iowa,1/27/20,0
283,Kansas,1/27/20,0
284,Kentucky,1/27/20,0
285,Louisiana,1/27/20,0
286,Maine,1/27/20,0
287,Maryland,1/27/20,0
288,Massachusetts,1/27/20,0
289,Michigan,1/27/20,0
290,Minnesota,1/27/20,0
291,Mississippi,1/27/20,0
292,Missouri,1/27/20,0
293,Montana,1/27/20,0
294,Nebraska,1/27/20,0
295,Nevada,1/27/20,0
296,New Hampshire,1/27/20,0
297,New Jersey,1/27/20,0
298,New Mexico,1/27/20,0
299,New York,1/27/20,0
300,North Carolina,1/27/20,0
301,North Dakota,1/27/20,0
302,Ohio,1/27/20,0
303,Oklahoma,1/27/20,0
304,Oregon,1/27/20,0
305,Pennsylvania,1/27/20,0
306,Rhode Island,1/27/20,0
307,South Carolina,1/27/20,0
308,South Dakota,1/27/20,0
309,Tennessee,1/27/20,0
310,Texas,1/27/20,0
311,Utah,1/27/20,0
312,Vermont,1/27/20,0
313,Virginia,1/27/20,0
314,Washington,1/27/20,0
315,West Virginia,1/27/20,0
316,Wisconsin,1/27/20,0
317,Wyoming,1/27/20,0
318,Alabama,1/28/20,0
319,Alaska,1/28/20,0
320,Arizona,1/28/20,0
321,Arkansas,1/28/20,0
322,California,1/28/20,0
323,Colorado,1/28/20,0
324,Connecticut,1/28/20,0
325,Delaware,1/28/20,0
326,Diamond Princess,1/28/20,0
327,District of Columbia,1/28/20,0
328,Florida,1/28/20,0
329,Georgia,1/28/20,0
330,Grand Princess,1/28/20,0
331,Hawaii,1/28/20,0
332,Idaho,1/28/20,0
333,Illinois,1/28/20,0
334,Indiana,1/28/20,0
335,Iowa,1/28/20,0
336,Kansas,1/28/20,0
337,Kentucky,1/28/20,0
338,Louisiana,1/28/20,0
339,Maine,1/28/20,0
340,Maryland,1/28/20,0
341,Massachusetts,1/28/20,0
342,Michigan,1/28/20,0
343,Minnesota,1/28/20,0
344,Mississippi,1/28/20,0
345,Missouri,1/28/20,0
346,Montana,1/28/20,0
347,Nebraska,1/28/20,0
348,Nevada,1/28/20,0
349,New Hampshire,1/28/20,0
350,New Jersey,1/28/20,0
351,New Mexico,1/28/20,0
352,New York,1/28/20,0
353,North Carolina,1/28/20,0
354,North Dakota,1/28/20,0
355,Ohio,1/28/20,0
356,Oklahoma,1/28/20,0
357,Oregon,1/28/20,0
