,Province_State,Date,value
80,Indonesia,1/22/20,0
81,Iran,1/22/20,0
82,Iraq,1/22/20,0
83,Ireland,1/22/20,0
84,Israel,1/22/20,0
85,Italy,1/22/20,0
86,Jamaica,1/22/20,0
87,Japan,1/22/20,0
88,Jordan,1/22/20,0
89,Kazakhstan,1/22/20,0
90,Kenya,1/22/20,0
91,"Korea, South",1/22/20,0
92,Kosovo,1/22/20,0
93,Kuwait,1/22/20,0
94,Kyrgyzstan,1/22/20,0
95,Laos,1/22/20,0
96,Latvia,1/22/20,0
97,Lebanon,1/22/20,0
98,Lesotho,1/22/20,0
99,Liberia,1/22/20,0
100,Libya,1/22/20,0
101,Liechtenstein,1/22/20,0
102,Lithuania,1/22/20,0
103,Luxembourg,1/22/20,0
104,MS Zaandam,1/22/20,0
105,Madagascar,1/22/20,0
106,Malawi,1/22/20,0
107,Malaysia,1/22/20,0
108,Maldives,1/22/20,0
109,Mali,1/22/20,0
110,Malta,1/22/20,0
111,Mauritania,1/22/20,0
112,Mauritius,1/22/20,0
113,Mexico,1/22/20,0
114,Moldova,1/22/20,0
115,Monaco,1/22/20,0
116,Mongolia,1/22/20,0
117,Montenegro,1/22/20,0
118,Morocco,1/22/20,0
119,Mozambique,1/22/20,0
120,Namibia,1/22/20,0
121,Nepal,1/22/20,0
122,Netherlands,1/22/20,0
123,New Zealand,1/22/20,0
124,Nicaragua,1/22/20,0
125,Niger,1/22/20,0
126,Nigeria,1/22/20,0
127,North Macedonia,1/22/20,0
128,Norway,1/22/20,0
129,Oman,1/22/20,0
130,Pakistan,1/22/20,0
131,Panama,1/22/20,0
132,Papua New Guinea,1/22/20,0
133,Paraguay,1/22/20,0
134,Peru,1/22/20,0
135,Philippines,1/22/20,0
136,Poland,1/22/20,0
137,Portugal,1/22/20,0
138,Qatar,1/22/20,0
139,Romania,1/22/20,0
140,Russia,1/22/20,0
141,Rwanda,1/22/20,0
142,Saint Kitts and Nevis,1/22/20,0
143,Saint Lucia,1/22/20,0
144,Saint Vincent and the Grenadines,1/22/20,0
145,San Marino,1/22/20,0
146,Sao Tome and Principe,1/22/20,0
147,Saudi Arabia,1/22/20,0
148,Senegal,1/22/20,0
149,Serbia,1/22/20,0
150,Seychelles,1/22/20,0
151,Sierra Leone,1/22/20,0
152,Singapore,1/22/20,0
153,Slovakia,1/22/20,0
154,Slovenia,1/22/20,0
155,Somalia,1/22/20,0
156,South Africa,1/22/20,0
157,South Sudan,1/22/20,0
158,Spain,1/22/20,0
159,Sri Lanka,1/22/20,0
160,Sudan,1/22/20,0
161,Suriname,1/22/20,0
162,Sweden,1/22/20,0
163,Switzerland,1/22/20,0
164,Syria,1/22/20,0
165,Taiwan*,1/22/20,0
166,Tajikistan,1/22/20,0
167,Tanzania,1/22/20,0
168,Thailand,1/22/20,0
169,Timor-Leste,1/22/20,0
170,Togo,1/22/20,0
171,Trinidad and Tobago,1/22/20,0
172,Tunisia,1/22/20,0
173,Turkey,1/22/20,0
174,US,1/22/20,0
175,Uganda,1/22/20,0
176,Ukraine,1/22/20,0
177,United Arab Emirates,1/22/20,0
178,United Kingdom,1/22/20,0
179,Uruguay,1/22/20,0
180,Uzbekistan,1/22/20,0
181,Venezuela,1/22/20,0
182,Vietnam,1/22/20,0
183,West Bank and Gaza,1/22/20,0
184,Western Sahara,1/22/20,0
185,Yemen,1/22/20,0
186,Zambia,1/22/20,0
187,Zimbabwe,1/22/20,0
188,Afghanistan,1/23/20,0
189,Albania,1/23/20,0
190,Algeria,1/23/20,0
191,Andorra,1/23/20,0
192,Angola,1/23/20,0
193,Antigua and Barbuda,1/23/20,0
194,Argentina,1/23/20,0
195,Armenia,1/23/20,0
196,Australia,1/23/20,0
197,Austria,1/23/20,0
198,Azerbaijan,1/23/20,0
199,Bahamas,1/23/20,0
200,Bahrain,1/23/20,0
