,Province_State,Date,value
88,Jordan,03/03/20,1
176,Ukraine,03/03/20,1
77,Hungary,03/04/20,2
101,Liechtenstein,03/04/20,1
136,Poland,03/04/20,1
172,Tunisia,03/04/20,1
21,Bosnia and Herzegovina,03/05/20,2
154,Slovenia,03/05/20,2
156,South Africa,03/05/20,1
183,West Bank and Gaza,03/05/20,4
19,Bhutan,03/06/20,1
31,Cameroon,03/06/20,1
37,Colombia,03/06/20,1
41,Costa Rica,03/06/20,1
75,Holy See,03/06/20,1
134,Peru,03/06/20,1
149,Serbia,03/06/20,1
153,Slovakia,03/06/20,1
170,Togo,03/06/20,1
110,Malta,03/07/20,3
13,Bangladesh,03/08/20,3
25,Bulgaria,03/08/20,4
108,Maldives,03/08/20,4
114,Moldova,03/08/20,1
133,Paraguay,03/08/20,1
1,Albania,03/09/20,2
24,Brunei,03/09/20,1
45,Cyprus,03/09/20,2
26,Burkina Faso,03/10/20,1
116,Mongolia,03/10/20,1
131,Panama,03/10/20,1
20,Bolivia,03/11/20,2
40,Congo (Kinshasa),03/11/20,1
42,Cote d'Ivoire,03/11/20,1
76,Honduras,03/11/20,2
86,Jamaica,03/11/20,1
173,Turkey,03/11/20,1
44,Cuba,03/12/20,3
73,Guyana,03/12/20,1
5,Antigua and Barbuda,03/13/20,1
59,Ethiopia,03/13/20,1
71,Guinea,03/13/20,1
89,Kazakhstan,03/13/20,4
90,Kenya,03/13/20,1
160,Sudan,03/13/20,1
179,Uruguay,03/13/20,4
58,Eswatini,03/14/20,1
63,Gabon,03/14/20,1
67,Ghana,03/14/20,3
70,Guatemala,03/14/20,1
92,Kosovo,03/14/20,2
111,Mauritania,03/14/20,1
120,Namibia,03/14/20,2
141,Rwanda,03/14/20,1
143,Saint Lucia,03/14/20,1
144,Saint Vincent and the Grenadines,03/14/20,1
150,Seychelles,03/14/20,2
161,Suriname,03/14/20,1
171,Trinidad and Tobago,03/14/20,2
181,Venezuela,03/14/20,2
33,Central African Republic,03/15/20,1
39,Congo (Brazzaville),03/15/20,1
55,Equatorial Guinea,03/15/20,1
180,Uzbekistan,03/15/20,1
11,Bahamas,03/16/20,1
18,Benin,03/16/20,1
99,Liberia,03/16/20,1
155,Somalia,03/16/20,1
167,Tanzania,03/16/20,1
14,Barbados,03/17/20,2
64,Gambia,03/17/20,1
117,Montenegro,03/17/20,2
49,Djibouti,03/18/20,1
94,Kyrgyzstan,03/18/20,3
112,Mauritius,03/18/20,3
186,Zambia,03/18/20,2
34,Chad,03/19/20,1
54,El Salvador,03/19/20,1
60,Fiji,03/19/20,1
124,Nicaragua,03/19/20,1
4,Angola,03/20/20,1
29,Cabo Verde,03/20/20,1
74,Haiti,03/20/20,2
105,Madagascar,03/20/20,3
125,Niger,03/20/20,1
132,Papua New Guinea,03/20/20,1
187,Zimbabwe,03/20/20,1
56,Eritrea,03/21/20,1
175,Uganda,03/21/20,1
50,Dominica,03/22/20,1
69,Grenada,03/22/20,1
119,Mozambique,03/22/20,1
164,Syria,03/22/20,1
169,Timor-Leste,03/22/20,1
17,Belize,03/23/20,1
95,Laos,03/24/20,2
100,Libya,03/24/20,1
72,Guinea-Bissau,03/25/20,2
109,Mali,03/25/20,2
142,Saint Kitts and Nevis,03/25/20,2
27,Burma,03/27/20,8
104,MS Zaandam,03/28/20,2
22,Botswana,03/30/20,3
28,Burundi,03/31/20,2
151,Sierra Leone,03/31/20,1
106,Malawi,04/02/20,3
157,South Sudan,04/05/20,1
184,Western Sahara,04/05/20,4
146,Sao Tome and Principe,04/06/20,4
185,Yemen,04/10/20,1
38,Comoros,04/30/20,1
166,Tajikistan,04/30/20,15
98,Lesotho,05/13/20,1
