,Province_State,Date,value
126,Nigeria,03/23/20,1
187,Zimbabwe,03/23/20,1
29,Cabo Verde,03/24/20,1
147,Saudi Arabia,03/24/20,1
31,Cameroon,03/25/20,1
57,Estonia,03/25/20,1
125,Niger,03/25/20,1
171,Trinidad and Tobago,03/25/20,1
7,Armenia,03/26/20,1
76,Honduras,03/26/20,1
90,Kenya,03/26/20,1
183,West Bank and Gaza,03/26/20,1
88,Jordan,03/27/20,1
124,Nicaragua,03/27/20,1
156,South Africa,03/27/20,1
170,Togo,03/27/20,1
180,Uzbekistan,03/27/20,1
181,Venezuela,03/27/20,1
24,Brunei,03/28/20,1
138,Qatar,03/28/20,1
159,Sri Lanka,03/28/20,1
179,Uruguay,03/28/20,1
4,Angola,03/29/20,2
20,Bolivia,03/29/20,1
42,Cote d'Ivoire,03/29/20,1
109,Mali,03/29/20,1
115,Monaco,03/29/20,1
123,New Zealand,03/29/20,1
164,Syria,03/29/20,1
111,Mauritania,03/30/20,1
15,Belarus,03/31/20,1
22,Botswana,03/31/20,1
27,Burma,03/31/20,1
54,El Salvador,03/31/20,1
129,Oman,03/31/20,1
167,Tanzania,03/31/20,1
11,Bahamas,04/01/20,1
104,MS Zaandam,04/01/20,2
148,Senegal,04/01/20,1
39,Congo (Brazzaville),04/02/20,2
100,Libya,04/02/20,1
186,Zambia,04/02/20,1
94,Kyrgyzstan,04/03/20,1
96,Latvia,04/03/20,1
161,Suriname,04/03/20,1
65,Georgia,04/04/20,1
93,Kuwait,04/04/20,1
99,Liberia,04/04/20,1
101,Liechtenstein,04/04/20,1
14,Barbados,04/05/20,1
59,Ethiopia,04/05/20,2
74,Haiti,04/05/20,1
17,Belize,04/06/20,1
18,Benin,04/06/20,1
5,Antigua and Barbuda,04/07/20,1
106,Malawi,04/07/20,1
110,Malta,04/08/20,1
155,Somalia,04/08/20,1
49,Djibouti,04/10/20,1
28,Burundi,04/13/20,1
71,Guinea,04/15/20,1
58,Eswatini,04/16/20,1
55,Equatorial Guinea,04/22/20,1
151,Sierra Leone,04/23/20,1
72,Guinea-Bissau,04/26/20,1
34,Chad,04/28/20,2
108,Maldives,04/29/20,1
185,Yemen,04/30/20,2
146,Sao Tome and Principe,05/01/20,1
166,Tajikistan,05/02/20,2
38,Comoros,05/06/20,1
157,South Sudan,05/15/20,4
121,Nepal,05/16/20,1
105,Madagascar,05/17/20,1
33,Central African Republic,05/23/20,1
119,Mozambique,05/25/20,1
184,Western Sahara,05/26/20,1
141,Rwanda,05/30/20,1
98,Lesotho,07/09/20,1
120,Namibia,07/10/20,1
132,Papua New Guinea,07/20/20,1
175,Uganda,07/24/20,1
60,Fiji,07/31/20,1
182,Vietnam,07/31/20,3
